epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,5014.53,1.55444,1.21319,1.57303,0,0,0,0,0,590.099,0,0.0054046,0.0054046,0.0054046
48,5119.71,1.48863,1.12999,1.528,0,0,0,0,0,551.799,0,0.0053047,0.0053047,0.0053047
49,5224.92,1.50521,1.1963,1.53468,0,0,0,0,0,448.282,0,0.0052048,0.0052048,0.0052048
50,5328.95,1.52865,1.19268,1.56198,0,0,0,0,0,508.603,0,0.0051049,0.0051049,0.0051049
51,5431.38,1.48694,1.18169,1.54594,0,0,0,0,0,555.815,0,0.005005,0.005005,0.005005
52,5534.94,1.45629,1.10949,1.51169,0,0,0,0,0,558.164,0,0.0049051,0.0049051,0.0049051
53,5641.02,1.48834,1.17123,1.56013,0,0,0,0,0,512.896,0,0.0048052,0.0048052,0.0048052
54,5746.17,1.43788,1.10738,1.50262,0,0,0,0,0,474.603,0,0.0047053,0.0047053,0.0047053
55,5850.67,1.47219,1.16446,1.53951,0,0,0,0,0,482.969,0,0.0046054,0.0046054,0.0046054
56,5954.16,1.40996,1.10017,1.50092,0,0,0,0,0,536.907,0,0.0045055,0.0045055,0.0045055
57,6058.1,1.45574,1.08176,1.503,0,0,0,0,0,444.649,0,0.0044056,0.0044056,0.0044056
58,6161.22,1.43819,1.11039,1.52597,0,0,0,0,0,449.304,0,0.0043057,0.0043057,0.0043057
59,6264.04,1.38794,1.05018,1.46687,0,0,0,0,0,478.574,0,0.0042058,0.0042058,0.0042058
60,6365.65,1.37892,1.04903,1.4725,0,0,0,0,0,418.371,0,0.0041059,0.0041059,0.0041059
61,6466.88,1.37745,1.02481,1.4578,0,0,0,0,0,523.416,0,0.004006,0.004006,0.004006
62,6569.68,1.40995,1.04074,1.49352,0,0,0,0,0,469.767,0,0.0039061,0.0039061,0.0039061
63,6674.82,1.37198,1.04,1.45202,0,0,0,0,0,529.341,0,0.0038062,0.0038062,0.0038062
64,6777.41,1.37503,1.05508,1.47526,0,0,0,0,0,528.816,0,0.0037063,0.0037063,0.0037063
