threshold,accuracy,precision,recall,f1_score
0.1,0.83904,0.7827595409661062,0.93856,0.8536088474970897
0.15000000000000002,0.84668,0.7991302547111203,0.92616,0.8579686515729795
0.20000000000000004,0.8512,0.8124555160142348,0.9132,0.8598870056497175
0.25000000000000006,0.8544,0.8243995313415349,0.90064,0.8608349900596421
0.30000000000000004,0.85632,0.8346356123215627,0.88872,0.860829135993801
0.3500000000000001,0.85756,0.843834141087776,0.87752,0.8603474646064552
0.40000000000000013,0.85752,0.852167060677699,0.86512,0.8585946804287415
0.45000000000000007,0.85728,0.8594655505473278,0.85424,0.8568448082169796
0.5000000000000001,0.85588,0.8664634648653101,0.84144,0.853768415925971
0.5500000000000002,0.85476,0.8741246941702523,0.82888,0.8509013263252987
0.6000000000000002,0.85224,0.881080145404189,0.8144,0.8464288683794795
0.6500000000000001,0.84924,0.8875277407900577,0.79984,0.8414054281506416
0.7000000000000002,0.8454,0.8956290662512599,0.78192,0.8349207705121086
0.7500000000000002,0.8406,0.9029815428300993,0.7632,0.8272274008237589
0.8000000000000002,0.83412,0.9100638193421698,0.74152,0.8171919770773639
0.8500000000000002,0.82632,0.9185306792530269,0.71616,0.8048188438370942
