Experiment,Val Acc (%),Train Acc (%),Gap (%),Best Epoch,LR,Hidden,Dropout,Layers,Bidirectional
ultimate_model,85.59223145170284,99.27030051760661,13.67806906590377,6,0.001,128,0.5,2,True
bidirectional_baseline,85.082320971867,95.94549233346339,10.863171361596386,10,0.001,128,0.5,2,True
lr_0_002,83.39034526244454,93.42551150590258,10.035166243458036,9,0.002,128,0.5,2,False
Extended Baseline,80.3764386250235,0.0,-80.3764386250235,0,0.001,128,0.5,2,False
hidden_256,74.60597826696723,67.30898338205674,-7.2969948849104895,10,0.001,256,0.5,2,False
hidden_64,74.22394500973888,77.53196930336526,3.3080242936263744,10,0.001,64,0.5,2,False
layers_1,67.82289002557545,67.29060101996907,-0.5322890056063727,6,0.001,128,0.5,1,False
layers_3,51.8070652166291,51.36269181585678,-0.4443734007723208,8,0.001,128,0.5,3,False
lr_0_0005,51.739130434020396,54.11285166545292,2.3737212314325262,2,0.0005,128,0.5,2,False
