epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.06638,2.14765,3.73623,2.08519,0.02476,0.33449,0.13934,0.06401,1.84572,3.70796,1.99434,3.333e-05,3.333e-05,3.333e-05
2,18.0476,1.9783,3.6197,2.00883,0.03592,0.33188,0.16913,0.07921,1.72747,3.72063,1.88058,7.00708e-05,7.00708e-05,7.00708e-05
3,27.3995,1.86529,3.4668,1.89556,0.03885,0.32391,0.16588,0.0813,1.70601,3.72696,1.87029,9.80124e-05,9.80124e-05,9.80124e-05
4,35.6968,1.77003,3.30757,1.82758,0.03443,0.3143,0.16121,0.07691,1.66079,3.70238,1.86617,0.000117155,0.000117155,0.000117155
5,43.7476,1.65521,3.07529,1.74618,0.03111,0.31971,0.16242,0.0681,1.64441,3.68428,1.83983,0.000127498,0.000127498,0.000127498
6,51.978,1.65184,2.81094,1.70894,0.02941,0.31563,0.1642,0.06983,1.61586,3.65457,1.80775,0.000129043,0.000129043,0.000129043
7,60.5982,1.66713,2.67122,1.7008,0.03136,0.33879,0.16749,0.07413,1.58565,3.57039,1.73612,0.000121788,0.000121788,0.000121788
8,68.7764,1.63616,2.51083,1.65915,0.03321,0.35268,0.17146,0.07883,1.58192,3.51792,1.70747,0.000105734,0.000105734,0.000105734
