learning_rate,hidden_dim,gamma,epsilon_decay,batch_size,target_update_freq,mean_reward,training_time
0.001,128,0.99,0.99,64,1000,55.0,1.7065773010253906
0.001,64,0.99,0.995,64,1000,43.8,1.6433746814727783
0.0001,64,0.99,0.995,64,1000,15.2,1.4130873680114746
0.001,64,0.99,0.99,64,1000,14.4,1.0919153690338135
0.0001,64,0.99,0.99,64,1000,12.2,1.2768213748931885
0.0001,128,0.99,0.99,64,1000,10.6,1.1082258224487305
0.0001,128,0.99,0.995,64,1000,9.6,1.2327492237091064
0.001,128,0.99,0.995,64,1000,9.0,1.5230722427368164
